"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.797424792E0,-3.631747742E0,-5.205874329E0,2.370470581E0,6.775680775E0
1.807364792E0,-3.881727905E0,-5.299280090E0,2.772085419E0,7.129841413E0
1.817305792E0,-3.872147827E0,-5.311404877E0,3.270997925E0,7.341932851E0
1.827245792E0,-3.186124420E0,-5.361550598E0,3.303779755E0,7.057802371E0
1.837186792E0,-2.463427277E0,-5.509592743E0,2.904410248E0,6.697737307E0
1.847126792E0,-2.154020691E0,-5.562582550E0,2.635269928E0,6.521255811E0
1.857067792E0,-2.067500610E0,-5.413043518E0,2.898273010E0,6.478856793E0
1.867007792E0,-2.314187622E0,-5.237758026E0,3.451223145E0,6.685844351E0
1.876948792E0,-2.920426941E0,-5.115162964E0,3.518882446E0,6.861218502E0
1.886888792E0,-3.262166290E0,-5.111420746E0,3.219355316E0,6.865318609E0
1.896829792E0,-3.189716949E0,-5.069058838E0,3.149300995E0,6.766664502E0
1.906769792E0,-3.068469086E0,-4.831353149E0,3.505560150E0,6.711663561E0
1.916710792E0,-3.019221497E0,-4.669240265E0,4.193080444E0,6.964152979E0
1.926650792E0,-3.237916718E0,-4.779261475E0,4.946164398E0,7.601972584E0
1.936591792E0,-4.002676392E0,-5.102140045E0,5.508993988E0,8.508952115E0
1.946531792E0,-5.037773895E0,-5.796246643E0,5.741310883E0,9.588445735E0
1.956472792E0,-6.062093811E0,-6.695576477E0,5.602100372E0,1.062841730E1
1.966412792E0,-7.188651123E0,-7.526947632E0,6.929689636E0,1.250408909E1
1.976353792E0,-7.834258575E0,-7.893385620E0,8.439599762E0,1.396094510E1
1.986293792E0,-8.379724274E0,-8.111781464E0,9.437125397E0,1.500267020E1
1.996233792E0,-9.296417999E0,-8.091723175E0,9.875413971E0,1.579313688E1
2.006174792E0,-9.321266327E0,-7.605234833E0,9.171278229E0,1.512739063E1
2.016114792E0,-9.121282196E0,-7.231911163E0,8.123157806E0,1.419450671E1
2.026055792E0,-8.680748291E0,-7.409292297E0,7.274871826E0,1.353428104E1
2.035995792E0,-7.890691223E0,-7.764503632E0,6.971752167E0,1.308265466E1
2.045936792E0,-7.349416809E0,-8.275690613E0,7.042704620E0,1.311871453E1
2.055876792E0,-6.716981964E0,-8.684490509E0,7.176226959E0,1.311626683E1
2.065817792E0,-6.085594940E0,-8.471483459E0,7.230863342E0,1.269196133E1
2.075757792E0,-5.300776978E0,-7.641309814E0,7.268435211E0,1.180330473E1
2.085698792E0,-4.914131012E0,-7.270381165E0,7.446415100E0,1.150896276E1
2.095638792E0,-5.090164948E0,-7.356152802E0,7.151827698E0,1.145300845E1
2.105579792E0,-5.367687836E0,-7.902816010E0,6.530020752E0,1.157185139E1
2.115519792E0,-5.928122406E0,-7.928712158E0,6.185886383E0,1.167357281E1
2.125460792E0,-7.037914581E0,-8.627758484E0,6.041586456E0,1.266772375E1
2.135400792E0,-8.002059631E0,-9.265731812E0,5.180427246E0,1.329374179E1
2.145341792E0,-8.785680084E0,-9.039701843E0,3.264710999E0,1.302162516E1
2.155281792E0,-8.443042603E0,-8.326734467E0,1.662143555E0,1.197423052E1
2.165222792E0,-7.259004822E0,-7.459737396E0,1.080902252E0,1.046466353E1
2.175162792E0,-6.023923187E0,-6.673272858E0,9.786648560E-1,9.043119268E0
2.185103792E0,-5.141807556E0,-6.580615540E0,1.460363159E0,8.477932907E0
2.195043792E0,-4.244273987E0,-6.711443481E0,2.917133789E0,8.459728413E0
2.204984792E0,-3.469485168E0,-6.498137054E0,4.305496674E0,8.532315871E0
2.214924792E0,-3.453618164E0,-6.496640167E0,4.001478882E0,8.375299704E0
2.224865792E0,-3.651806030E0,-6.652915192E0,2.553988953E0,8.007485710E0
2.234805792E0,-3.994593201E0,-6.805148621E0,1.176703033E0,7.978186048E0
2.244746792E0,-4.249662781E0,-7.041207733E0,2.198927307E-1,8.227186208E0
2.254686792E0,-4.551584930E0,-7.371421051E0,-3.797602844E-1,8.671735211E0
2.264627792E0,-5.010530548E0,-7.470664673E0,-4.894821167E-1,9.008653605E0
2.274567792E0,-5.469775543E0,-7.466024323E0,-4.357438660E-1,9.265518679E0
2.284508792E0,-5.564827881E0,-7.470365295E0,-5.245092773E-1,9.329993407E0
2.294448792E0,-5.769901428E0,-7.484585724E0,-6.550378418E-1,9.473112505E0
2.304389792E0,-6.527925110E0,-7.337741089E0,-6.289920044E-1,9.841335350E0
2.314329792E0,-7.164850616E0,-7.234006805E0,-5.740562439E-1,1.019781738E1
2.324270792E0,-7.355254669E0,-7.392078094E0,-4.424798584E-1,1.043735494E1
2.334210792E0,-7.033124542E0,-7.862699432E0,5.987548828E-2,1.054942976E1
2.344151792E0,-5.820496216E0,-8.810528412E0,1.155746613E0,1.062258619E1
2.354091792E0,-4.708458710E0,-9.378447418E0,2.311942291E0,1.074569386E1
2.364032792E0,-4.503235474E0,-8.848249969E0,2.845432892E0,1.032797878E1
2.373972792E0,-4.431085510E0,-8.180937653E0,2.867886200E0,9.735863132E0
2.383913792E0,-3.904330902E0,-8.190218353E0,2.694696350E0,9.464928150E0
2.393853792E0,-3.973786469E0,-8.212222595E0,2.212848358E0,9.387666201E0
2.403794792E0,-4.670288086E0,-8.087232513E0,1.769919434E0,9.505132052E0
2.413734792E0,-5.438789978E0,-8.039182434E0,1.478176117E0,9.818039278E0
2.423675792E0,-5.620362396E0,-8.089178467E0,1.149160309E0,9.916846835E0
2.433615792E0,-5.695805511E0,-8.025710449E0,8.520281982E-1,9.878268102E0
2.443556792E0,-5.660179596E0,-7.703879700E0,6.730004883E-1,9.583335805E0
2.453496792E0,-5.664520569E0,-7.342381439E0,8.175997925E-1,9.309448313E0
2.463437792E0,-5.935008087E0,-6.919810181E0,1.019380188E0,9.173179923E0
2.473377792E0,-6.350394287E0,-6.618636475E0,1.078806610E0,9.235674317E0
2.483319208E0,-6.604715424E0,-6.539151764E0,1.012045441E0,9.349171492E0
2.493259208E0,-6.716383209E0,-6.442003784E0,7.930508423E-1,9.340136284E0
2.503200208E0,-6.614594879E0,-6.462810516E0,7.649093628E-1,9.279324950E0
2.513140208E0,-5.955814819E0,-5.931116180E0,1.144220581E0,8.482871568E0
2.523081208E0,-5.392835541E0,-4.933740234E0,1.575773163E0,7.477133738E0
2.533021208E0,-5.790109406E0,-4.538262634E0,2.163600769E0,7.668269880E0
2.542962208E0,-6.707401886E0,-5.108726349E0,2.298170929E0,8.738988190E0
2.552902208E0,-6.878346405E0,-5.549110565E0,1.890568542E0,9.037617316E0
2.562843208E0,-6.233038330E0,-5.397475891E0,1.133143616E0,8.322711534E0
